category,variant,ensembl,gene_symbol
1_Matrixbestandteile,narrow,ENSG00000011465,DCN
1_Matrixbestandteile,narrow,ENSG00000140092,FBLN5
1_Matrixbestandteile,narrow,ENSG00000143196,DPT
1_Matrixbestandteile,narrow,ENSG00000143369,ECM1
1_Matrixbestandteile,narrow,ENSG00000164932,CTHRC1
1_Matrixbestandteile,broad,ENSG00000011465,DCN
1_Matrixbestandteile,broad,ENSG00000127083,OMD
1_Matrixbestandteile,broad,ENSG00000140092,FBLN5
1_Matrixbestandteile,broad,ENSG00000143196,DPT
1_Matrixbestandteile,broad,ENSG00000143369,ECM1
1_Matrixbestandteile,broad,ENSG00000164932,CTHRC1
1_Matrixbestandteile,empfindlichkeit,ENSG00000011465,DCN
1_Matrixbestandteile,empfindlichkeit,ENSG00000137673,MMP7
2_Matrixremodellierung,narrow,ENSG00000101439,CST3
2_Matrixremodellierung,narrow,ENSG00000123342,MMP19
2_Matrixremodellierung,narrow,ENSG00000137673,MMP7
2_Matrixremodellierung,broad,ENSG00000101439,CST3
2_Matrixremodellierung,broad,ENSG00000123342,MMP19
2_Matrixremodellierung,broad,ENSG00000137673,MMP7
2_Matrixremodellierung,broad,ENSG00000142303,ADAMTS10
2_Matrixremodellierung,broad,ENSG00000178031,ADAMTSL1
2_Matrixremodellierung,empfindlichkeit,ENSG00000011465,DCN
2_Matrixremodellierung,empfindlichkeit,ENSG00000123342,MMP19
2_Matrixremodellierung,empfindlichkeit,ENSG00000137673,MMP7
2_Matrixremodellierung,empfindlichkeit,ENSG00000140092,FBLN5
3_Sekretionsmaschine,narrow,ENSG00000106688,SLC1A1
3_Sekretionsmaschine,narrow,ENSG00000149043,SYT8
3_Sekretionsmaschine,narrow,ENSG00000168067,MAP4K2
3_Sekretionsmaschine,narrow,ENSG00000180447,GAS1
3_Sekretionsmaschine,narrow,ENSG00000242265,PEG10
3_Sekretionsmaschine,broad,ENSG00000106688,SLC1A1
3_Sekretionsmaschine,broad,ENSG00000149043,SYT8
3_Sekretionsmaschine,broad,ENSG00000168067,MAP4K2
3_Sekretionsmaschine,broad,ENSG00000180447,GAS1
3_Sekretionsmaschine,broad,ENSG00000242265,PEG10
4_TGFb_BMP,narrow,ENSG00000112679,DUSP22
4_TGFb_BMP,narrow,ENSG00000242265,PEG10
4_TGFb_BMP,broad,ENSG00000138696,BMPR1B
5_Hypoxie_Stress,narrow,ENSG00000106688,SLC1A1
5_Hypoxie_Stress,narrow,ENSG00000118689,FOXO3
5_Hypoxie_Stress,broad,ENSG00000106688,SLC1A1
5_Hypoxie_Stress,broad,ENSG00000118689,FOXO3
6_Zellzyklusausstieg,narrow,ENSG00000047644,WWC3
6_Zellzyklusausstieg,narrow,ENSG00000080503,SMARCA2
6_Zellzyklusausstieg,narrow,ENSG00000109819,PPARGC1A
6_Zellzyklusausstieg,narrow,ENSG00000109906,ZBTB16
6_Zellzyklusausstieg,narrow,ENSG00000113916,BCL6
6_Zellzyklusausstieg,narrow,ENSG00000119138,KLF9
6_Zellzyklusausstieg,narrow,ENSG00000134533,RERG
6_Zellzyklusausstieg,narrow,ENSG00000138696,BMPR1B
6_Zellzyklusausstieg,narrow,ENSG00000143196,DPT
6_Zellzyklusausstieg,narrow,ENSG00000154144,TBRG1
6_Zellzyklusausstieg,narrow,ENSG00000154928,EPHB1
6_Zellzyklusausstieg,narrow,ENSG00000186767,SPIN4
6_Zellzyklusausstieg,narrow,ENSG00000189058,APOD
6_Zellzyklusausstieg,broad,ENSG00000047644,WWC3
6_Zellzyklusausstieg,broad,ENSG00000080503,SMARCA2
6_Zellzyklusausstieg,broad,ENSG00000109819,PPARGC1A
6_Zellzyklusausstieg,broad,ENSG00000109906,ZBTB16
6_Zellzyklusausstieg,broad,ENSG00000113916,BCL6
6_Zellzyklusausstieg,broad,ENSG00000119138,KLF9
6_Zellzyklusausstieg,broad,ENSG00000134533,RERG
6_Zellzyklusausstieg,broad,ENSG00000138696,BMPR1B
6_Zellzyklusausstieg,broad,ENSG00000143196,DPT
6_Zellzyklusausstieg,broad,ENSG00000154144,TBRG1
6_Zellzyklusausstieg,broad,ENSG00000154928,EPHB1
6_Zellzyklusausstieg,broad,ENSG00000186767,SPIN4
6_Zellzyklusausstieg,broad,ENSG00000189058,APOD
